31.64,3.83,4.36,3.0
241.7,4.2,4.51,2.0
142.52,3.91,4.45,2.0
343.0,4.39,5.0,2.0
101.79,3.97,4.91,2.0
36.12,3.36,4.45,2.0
41.17,3.29,4.41,3.0
33.1,2.85,3.87,2.0
34.28,2.81,3.78,3.0
34.5,2.63,3.54,2.0
31.68,2.3,3.21,2.0
30.64,2.17,2.98,3.0
35.2,2.47,3.52,3.0
33.89,2.53,3.66,1.0
29.86,2.37,3.42,2.0
26.54,2.25,3.19,2.0
24.99,2.09,3.13,2.0
23.46,1.96,2.93,2.0
24.75,1.99,2.97,2.0
25.55,2.18,3.18,2.0
23.05,2.01,2.9,2.0
26.27,2.09,3.0,2.0
22.51,2.02,2.91,2.0
26.13,1.95,2.8,2.0
26.39,1.91,2.74,2.0
23.3,1.88,2.67,2.0
26.1,1.93,2.73,2.0
18.94,1.93,2.73,2.0
18.36,1.83,2.64,2.0
17.63,1.62,2.39,2.0
21.57,1.87,2.84,3.0
27.13,1.88,2.92,1.0
16.29,1.81,2.81,2.0
14.27,1.57,2.44,2.0
14.25,1.65,2.49,3.0
12.81,1.58,2.31,2.0
19.15,1.75,2.35,2.0
31.78,2.51,4.34,2.0
29.82,2.27,4.01,1.0
25.78,2.02,3.7,2.0
29.33,1.92,3.53,3.0
28.89,1.8,3.46,2.0
39.61,2.05,4.08,2.0
52.16,2.13,4.31,1.0
56.22,2.22,4.64,2.0
63.63,2.17,4.71,2.0
93.0,2.44,5.46,2.0
81.33,2.3,5.24,1.0
78.07,2.13,4.32,2.0
77.48,1.98,4.15,2.0
52.19,1.92,4.28,2.0
63.88,2.27,5.63,2.0
47.96,2.09,6.26,1.0
38.3,14.05,6.19,3.0
36.48,14.47,6.15,3.0
25.7,12.58,5.25,2.0
23.98,12.41,5.98,3.0
21.63,10.56,5.45,1.0
21.38,9.86,5.32,3.0
22.61,9.97,4.98,2.0
30.63,11.46,5.02,2.0
29.91,10.79,4.83,2.0
28.76,10.13,4.61,2.0
25.61,9.01,4.34,2.0
24.99,8.43,3.93,2.0
27.6,9.08,4.41,2.0
29.06,8.52,4.27,2.0
30.59,7.75,3.91,2.0
29.76,6.93,4.05,2.0
28.17,6.2,3.97,2.0
25.95,5.86,3.89,2.0
23.82,5.18,3.56,2.0
20.92,4.58,3.32,2.0
21.97,4.32,3.17,3.0
21.31,4.14,3.06,2.0
24.15,4.23,3.28,2.0
22.31,3.78,2.9,2.0
20.14,3.31,2.58,3.0
20.06,3.35,2.68,3.0
17.76,3.09,2.46,2.0
17.88,3.04,2.35,3.0
18.01,3.01,2.34,2.0
20.05,2.96,2.29,2.0
17.91,2.53,1.98,2.0
16.65,2.27,1.75,3.0
20.67,2.87,2.21,3.0
19.36,2.87,2.26,1.0
17.91,2.66,2.16,2.0
16.56,2.49,2.0,2.0
14.63,2.2,1.72,2.0
15.91,2.48,1.94,3.0
15.84,2.45,1.85,2.0
71.94,21.92,16.91,2.0
67.12,19.48,15.67,2.0
51.99,15.96,12.43,3.0
57.55,16.55,13.15,3.0
53.77,15.65,12.67,2.0
61.6,16.43,14.5,3.0
74.84,18.82,17.4,2.0
61.06,15.95,14.21,1.0
56.3,15.05,13.23,3.0
58.54,14.99,13.68,3.0
64.66,15.27,14.21,2.0
27.7,12.41,11.82,2.0
26.44,11.86,11.03,3.0
18.66,8.54,7.79,3.0
19.65,9.23,8.33,3.0
43.47,12.53,8.05,2.0
46.89,13.87,8.81,2.0
45.36,13.07,8.12,2.0
35.35,9.45,5.72,3.0
54.6,10.17,6.15,3.0
56.25,10.31,6.02,2.0
